Name,Industry,Ticker,Total,Governance,Social,Environment,Date
Facebook,Media,FB US Equity,53.6,41.9,49.1,83.3,Sep-19
Faurecia,Automobiles & Components,FURCF US Equity,52.7,57.3,52.1,45.0,Sep-19
FCA,Automobiles & Components,FCAU US Equity,65.8,56.8,70.8,71.9,Sep-19
Ferrari NV,Automobiles & Components,RACE US Equity,62.0,58.6,66.7,60.0,Sep-19
Ferrovial,Construction & Building Materials,CCIDF US Equity,68.4,50.8,69.1,93.8,Sep-19
Fnac Darty,Non Food Retail,GRUPF US Equity,58.2,63.7,47.0,64.4,Sep-19
Foncière Lyonnaise,Real Estate,FONYF US Equity,76.1,58.8,84.4,89.1,Sep-19
Fortum,Utilities,FOTUF US Equity,65.9,64.1,75.6,58.8,Sep-19
Fraport AG,Transportation,FPRUF US Equity,77.7,56.6,84.9,88.0,Sep-19
Fresenius Medical Care AG & Co KGAA,Health Care Equipment & Services,FMCQF US Equity,54.9,40.2,81.3,57.5,Sep-19
Fresenius SE & Co. KGaA,Health Care Equipment & Services,FSNUF US Equity,51.4,54.2,43.8,56.3,Sep-19
Galp Energia,Oil & Gas,GLPEF US Equity,86.1,61.6,97.5,99.8,Sep-19
Garanti Bank,Banks,TKGBF US Equity,63.2,49.8,65.6,93.3,Sep-19
Gaztransport & Technigaz,Oil & Gas,GZPZF US Equity,63.8,63.0,70.6,60.0,Sep-19
GEA Group AG,Capital Goods,MGTAF US Equity,51.5,65.5,55.8,26.5,Sep-19
Geberit,Construction & Building Materials,GBERF US Equity,80.7,68.2,90.5,85.0,Sep-19
Gecina,Real Estate,GECFF US Equity,82.0,70.6,84.4,92.7,Sep-19
Getlink,Transportation,GRPTF US Equity,73.7,71.5,69.5,81.1,Sep-19
Givaudan,Chemicals,GVDBF US Equity,67.6,62.9,75.8,62.5,Sep-19
GlaxoSmithKline,Pharmaceuticals & Biotechnology,GLAXF US Equity,76.3,67.6,79.6,100.0,Sep-19
Glencore,Metals & Mining,GLCNF US Equity,60.8,53.2,58.2,70.0,Sep-19
Goldman Sachs,Banks,GS US Equity,67.9,57.0,68.9,93.3,Sep-19
Groupe Bolloré,Media,ABVMF US Equity,51.7,43.9,71.4,45.0,Sep-19
Groupe Bruxelles Lambert,Holding & Investment companies,GBLBF US Equity,58.6,54.7,70.7,50.0,Sep-19
Groupe Seb,Consumer Durables,SEBYF US Equity,71.1,63.6,77.9,71.4,Sep-19
Grupa Lotos,Oil & Gas,GPOLF US Equity,60.6,60.9,58.9,61.4,Sep-19
Halkbank,Banks,THBIF US Equity,52.6,36.2,69.4,68.3,Sep-19
Hannover RE,Insurance,HVRRF US Equity,65.7,53.3,71.1,85.9,Sep-19
HeidelbergCement,Construction & Building Materials,HLBZF US Equity,63.9,63.9,69.1,58.0,Sep-19
Heineken,Beverages,HINKF US Equity,63.6,58.9,81.9,42.2,Sep-19
Henkel,Household & Personal Care,HENOF US Equity,73.8,60.7,77.7,86.1,Sep-19
Hennes & Mauritz,Non Food Retail,HMRZF US Equity,61.3,54.1,55.8,76.7,Sep-19
Hermes Intl,Luxury and Sporting Goods,HESAF US Equity,51.7,57.1,64.3,16.7,Sep-19
